question	answer_summary	sources	confidence	gaps_identified	status
How do nested act claims work for multi-hop delegation?	RFC 8693 supports nested act claims — outermost represents current actor, most deeply nested is least recent. Agentic JWT (A-JWT) extends this with dedicated delegation_chain claim containing ordered list of delegated_by/delegated_at/purpose/permissions objects. A-JWT adds cryptographic binding via initiated_by (original user) and executed_by (executing agent) claims with signatures linking agent actions to verifiable user intent. Keycloak 26.2 preserves nested act on refresh. No auth server natively validates multi-hop chain permissions yet — validation logic must be implemented at resource server.	https://datatracker.ietf.org/doc/html/rfc8693|https://arxiv.org/html/2509.13597v1|https://www.keycloak.org/2025/05/standard-token-exchange-kc-26-2|https://zitadel.com/docs/guides/integrate/token-exchange	HIGH	How do resource servers validate multi-hop delegation chains in practice?|What's the maximum practical chain depth?|How do you handle revocation in multi-hop chains?	answered
How do resource servers validate multi-hop delegation chains?	RFC 8693 mandates resource servers MUST only consider top-level claims and current act claim for access control — nested act claims are informational audit trail only. Critical security gap: Delegation Chain Splicing attack allows compromised intermediaries to present mismatched subject_token/actor_token from different contexts to create fraudulent chains (no cross-validation requirement). Mitigations proposed: may_act claim (currently optional, should be normative), audience/subject chaining, per-step signed delegation receipts. New IETF draft-goswami-agentic-jwt adds agent_checksum binding, workflow_step tracking, and SHA-256 chain hashes for tamper detection.	https://datatracker.ietf.org/doc/html/rfc8693|http://www.mail-archive.com/oauth@ietf.org/msg25680.html|https://datatracker.ietf.org/doc/html/draft-goswami-agentic-jwt-00|https://dev.to/stacklok/token-delegation-and-mcp-server-orchestration-for-multi-user-ai-systems-3gbi	HIGH	What production systems implement chain integrity validation?|How do enterprises handle chain splicing risk today?|Is may_act being made normative in any draft?	answered
What production systems implement chain integrity validation?	Two major production approaches: (1) Okta Cross App Access (XAA) — tracks and revokes delegation lineage, enforces scope attenuation at every hop via FGA (Zanzibar-based), asynchronous out-of-band approval for sensitive ops. (2) Microsoft Entra Agent ID — multi-stage token exchanges with FIC (Federated Identity Credentials), managed identities as preferred credential type, OBO flow for delegation, explicit exclusion of public client flows. Both converging on: stateful delegation tracking, scope narrowing enforcement, and centralized revocation. Legacy IAM identified as failing for agentic AI due to coarse permissions, weak inter-agent trust, and revocation chaos.	https://www.okta.com/blog/ai/agent-security-delegation-chain/|https://learn.microsoft.com/en-us/entra/agent-id/identity-platform/agent-oauth-protocols|https://www.isaca.org/resources/news-and-trends/industry-news/2025/the-looming-authorization-crisis-why-traditional-iam-fails-agentic-ai	HIGH	How do XAA and Entra Agent ID compare in detail?|What's the migration path from legacy IAM to agent-ready?|What's the price/licensing model?	answered
How do you handle revocation in multi-hop delegation chains?	JWT revocation is inherently difficult — self-contained tokens can't be invalidated until expiry. Three production patterns: (1) Short-lived tokens (minutes not days) with no refresh, (2) Distributed revocation lists checked at each hop, (3) Gateway-based token transformation issuing short-lived downstream assertions. Agent Passport System (OSS) implements cascade revocation — revoking parent delegation automatically invalidates all dependent work receipts via Merkle proof invalidation. OAuth 2.0 RFC 7009 allows cascading — "revocation of a particular token may cause revocation of related tokens and underlying authorization grant." No standardized protocol for real-time cascade yet.	https://blog.gitguardian.com/oauth-for-mcp-emerging-enterprise-patterns-for-agent-authorization/|https://github.com/aeoess/agent-passport-system|https://datatracker.ietf.org/doc/html/rfc7009|https://www.okta.com/blog/ai/agent-security-delegation-chain/	HIGH	How do enterprises implement real-time cascade revocation in practice?|What's the latency for distributed revocation list checks?|How do you handle inflight operations when revocation occurs?	answered
What's the gap between enterprise needs and available solutions?	Critical gaps: (1) 90% of agents over-permissioned with 10x more privileges than required, (2) Only 21% have complete visibility into agent permissions/tool usage, (3) 63% cannot enforce purpose limitations (know what agents should do, cannot prevent other actions), (4) Agents move 16x more data than human users — existing monitoring not designed for this. Market deploying anyway: 96% plan to expand in 2025, 75% cite security as primary challenge but won't slow down (ROI pressure: 171% avg). Missing: real-time behavioral monitoring, sub-second threat detection, prompt injection prevention at scale, tool use validation, comprehensive audit trails.	https://www.straiker.ai/blog/the-agent-security-gap-why-75-of-leaders-wont-let-security-concerns-slow-their-ai-deployment|https://www.obsidiansecurity.com/blog/ai-agent-market-landscape|https://www.helpnetsecurity.com/2026/02/24/ai-agents-business-processes-security-complexity/	HIGH	What specific compliance frameworks are enterprises mapping to?|How do security buyers evaluate agent credential solutions?|What's the buying process/budget allocation?	answered
What SOC2/compliance frameworks require for agent credentials?	SOC2 Trust Services Criteria designed for human-operated systems — AI agents break this assumption. Specific requirements: (1) Unique API keys per agent with policy-based authorization, (2) Quarterly key rotation minimum, (3) Per-transaction and daily spending limits, (4) Intent fingerprinting with SHA-256 hashing for tamper detection, (5) Two-gate enforcement separating LLM intent from deterministic validation. Audit logs must be immutable, append-only, and include: event ID, timestamp, org/agent IDs, full intent, policy version, spending counters, decision with reason code. Non-custodial architecture required (private keys never leave customer infra). ISO 42001 adds AI-specific controls: model cards, bias mitigation, human oversight. 99.9% SLA with fail-closed degradation.	https://goteleport.com/blog/ai-agents-soc-2/|https://www.policylayer.com/blog/soc2-compliance-ai-agents|https://www.lasso.security/blog/iso-iec-42001|https://prefactor.tech/blog/audit-trails-in-ci-cd-best-practices-for-ai-agents	HIGH	How do auditors actually evaluate AI agent controls?|What's the timeline for ISO 42001 adoption?|How does HIPAA specifically apply to AI agent credentials?	answered
How do MCP deployments handle downstream token propagation?	MCP spec forbids passing incoming tokens directly to downstream APIs — must implement RFC 8693 token exchange. Production pattern (Ultrathink fastmcp-gateway, Red Hat MCP Gateway): Three-layer authentication stack: (1) OIDC authentication extracts user identity, (2) SpiceDB/Kuadrant authorization checks relationship-based access, (3) RFC 8693 exchange swaps gateway-scoped JWT for platform-specific token. Identity propagates via HTTP headers (X-User-Subject, X-User-Token). Okta requires dual-app setup: Web App (subject) + API Services App (actor). Enterprise MCP extension (Nov 2025) incorporated XAA/Enterprise-Managed Authorization. Vault integration handles non-OAuth services (PATs, API keys). Dual-mode supports graceful fallback to service accounts.	https://ultrathinksolutions.com/the-signal/mcp-gateway-authentication/|https://developers.redhat.com/articles/2025/12/12/advanced-authentication-authorization-mcp-gateway|https://auth0.com/blog/mcp-specs-update-all-about-auth/	HIGH	What's the latency overhead of RFC 8693 exchange per request?|How do you handle token exchange failures gracefully?|Which MCP servers in production implement this pattern?	answered
How do enterprises detect credential abuse by agents?	UEBA (User & Entity Behavior Analytics) extended for AI agents. Key techniques: (1) Behavioral baseline establishment using ML on API call frequency, data access scope, integration interactions, (2) Real-time anomaly detection comparing activity to baseline + peers + org-wide patterns, (3) Contextual analysis of agent role, permissions, operational environment. Specific signals: unusual authentication patterns, unauthorized access attempts, privilege escalation chains, cross-region AssumeRole calls. Market: Exabeam UEBA for AI agents (Gemini integration), Darktrace SECURE AI, Obsidian Security agent monitoring. Cloud account detections surged 500% YoY; 70% of breaches start with stolen credentials. Response: automated access restriction at machine speed when anomaly detected.	https://www.obsidiansecurity.com/blog/ai-agent-monitoring-tools|https://www.crowdstrike.com/en-us/platform/next-gen-identity-security/ueba/|https://www.exabeam.com/explainers/ueba/what-ueba-stands-for-and-a-5-minute-ueba-primer/|https://www.cy5.io/blog/ueba-for-cloud-aws-azure-gcp/	HIGH	How accurate are UEBA systems for AI agent threats specifically?|What false positive rates exist?|How do vendors differentiate their agent monitoring?	answered
What's the interoperability story across auth providers for agent tokens?	Cross-App Access (XAA) emerging as interoperability standard. Built on IETF drafts: "Identity and Authorization Chaining Across Domains" + "Identity Assertion Authorization Grant" (ID-JAG). Protocol: IdP exchanges ID token → ID Assertion JWT → resource app issues access token. Foundation: RFC 8693 (Token Exchange) + RFC 7523 (JWT Profile for Authorization Grants). Okta: AI agent token exchange in Early Access, supports auth servers, secrets, service accounts. Keycloak 26.2: Full RFC 8693 compliant. Auth0: Custom Token Exchange. Key advantage: no user interaction needed, uses existing SSO signing keys, enterprise admin controls policies. Gap: SAML not yet supported, different providers have varying implementation maturity.	https://developer.okta.com/docs/guides/ai-agent-token-exchange/authserver/main/|https://developer.okta.com/blog/2025/06/23/enterprise-ai|https://www.keycloak.org/securing-apps/token-exchange|https://docs.secureauth.com/ciam/en/token-exchange.html	HIGH	When will XAA reach GA across major providers?|How do you handle cross-provider token exchange?|What's the migration path from proprietary flows?	answered
What DCR security issues exist for MCP servers?	Multiple 1-click account takeover vulnerabilities discovered in 2025. Core problem: MCP servers act as both auth server (for MCP clients) AND OAuth client (to SaaS platforms) using single static client_id — creates misaligned security boundaries. Attack patterns: (1) Shared client_id exploitation bypasses consent via cached decisions, (2) Attacker-initiated consent bypass — complete consent yourself, capture redirect URL, send to victim, (3) Subdomain cookie injection defeats CSRF. Square MCP (mcp.squareup.com) allowed registration without redirect_uri restrictions — single click granted full merchant access. Mitigations: strict redirect_uri allowlisting, state-session binding with __Host- prefix cookies, display client identity on consent. CIMD (SEP-991) proposes replacing DCR with domain-based trust.	https://www.descope.com/blog/post/dcr-hardening-mcp|https://www.obsidiansecurity.com/blog/when-mcp-meets-oauth-common-pitfalls-leading-to-one-click-account-takeover|https://workos.com/blog/dynamic-client-registration-dcr-mcp-oauth|https://aaronparecki.com/2025/11/25/1/mcp-authorization-spec-update	HIGH	Which production MCP servers have been patched?|How prevalent is CIMD adoption?|What's the timeline for DCR deprecation?	answered
How do major LLM providers handle tool-use authentication?	Divergent approaches: (1) OpenAI GPT Actions — 3 options: None, API Key (encrypted storage), OAuth (most robust, user token passed in Authorization header, x-openai-isConsequential flag for user confirmation). (2) Anthropic Claude — restricted OAuth to Claude Code/Claude.ai only (Feb 2026), third-party tools must use API keys via Claude Console. Crackdown due to abuse: autonomous agents running expensive loops on $200/mo subscriptions. MCP connector available for Claude API. (3) OpenAI allows third-party OAuth tokens + self-managed compliance. OAuth callback URL format: chat.openai.com/aip/{GPT_ID}/oauth/callback. State parameter required for security. No standardized delegation — each provider has proprietary approach.	https://developers.openai.com/api/docs/actions/authentication/|https://daveswift.com/claude-oauth-update/|https://news.ycombinator.com/item?id=47069299|https://platform.claude.com/docs/en/agents-and-tools/mcp-connector	HIGH	What does Google Gemini do for tool auth?|Will providers converge on MCP auth standard?|How do API costs factor into auth decisions?	answered
